# db_pool_sizing.tsv — the connection-pool arithmetic, shared between
# runtime-go/rt/db_pool.go (the original) and
# rust/crates/sky/src/db_pool_sizing.rs (which sizes clusters before any Go runs).
#
# Regenerate with:
#   cd runtime-go && go test ./rt/ -run TestThePoolSizingFixture -update-pool-fixture
# Both languages assert they reproduce it, so regenerating without following
# the change on the other side turns that side red.
#
# consumers <tab> comma-separated names, in demand order
# <cpus> <tab> <app pool> <tab> <unshared aux> <tab> <shared aux> <tab> <telemetry> <tab> <process demand>
consumers	analytics,live-sessions,telemetry
1	4	2	6	4	20
2	8	2	6	4	24
3	12	3	7	4	30
4	16	4	8	4	36
5	20	5	9	4	42
6	24	6	10	4	48
7	28	7	11	4	54
8	32	8	12	4	60
9	32	8	12	4	60
10	32	8	12	4	60
11	32	8	12	4	60
12	32	8	12	4	60
13	32	8	12	4	60
14	32	8	12	4	60
15	32	8	12	4	60
16	32	8	12	4	60
17	32	8	12	4	60
18	32	8	12	4	60
19	32	8	12	4	60
20	32	8	12	4	60
21	32	8	12	4	60
22	32	8	12	4	60
23	32	8	12	4	60
24	32	8	12	4	60
25	32	8	12	4	60
26	32	8	12	4	60
27	32	8	12	4	60
28	32	8	12	4	60
29	32	8	12	4	60
30	32	8	12	4	60
31	32	8	12	4	60
32	32	8	12	4	60
33	32	8	12	4	60
34	32	8	12	4	60
35	32	8	12	4	60
36	32	8	12	4	60
37	32	8	12	4	60
38	32	8	12	4	60
39	32	8	12	4	60
40	32	8	12	4	60
41	32	8	12	4	60
42	32	8	12	4	60
43	32	8	12	4	60
44	32	8	12	4	60
45	32	8	12	4	60
46	32	8	12	4	60
47	32	8	12	4	60
48	32	8	12	4	60
49	32	8	12	4	60
50	32	8	12	4	60
51	32	8	12	4	60
52	32	8	12	4	60
53	32	8	12	4	60
54	32	8	12	4	60
55	32	8	12	4	60
56	32	8	12	4	60
57	32	8	12	4	60
58	32	8	12	4	60
59	32	8	12	4	60
60	32	8	12	4	60
61	32	8	12	4	60
62	32	8	12	4	60
63	32	8	12	4	60
64	32	8	12	4	60
